Source,Destination,Distance(M),Distance 4-digit(M)
City_54,City_60,2459212,2459
City_54,City_7,2702529,2702
City_54,City_61,2447861,2447
City_53,City_24,1721435,1721
City_53,City_47,2304504,2304
City_53,City_31,1806759,1806
City_53,City_54,18106,1810
City_53,City_19,3038297,3038
City_53,City_12,1197642,1197
City_53,City_46,2211698,2211
City_53,City_45,2212612,2212
City_53,City_51,2777814,2777
City_53,City_6,2517485,2517
City_53,City_20,3040598,3040
City_53,City_56,2569888,2569
City_53,City_35,970200,9702
City_53,City_48,2443244,2443
City_53,City_57,2616459,2616
City_53,City_58,2551400,2551
City_53,City_42,1940614,1940
City_53,City_13,1304121,1304
City_53,City_14,1306731,1306
City_53,City_37,1956400,1956
City_53,City_30,1654431,1654
City_53,City_5,521584,5215
City_53,City_41,1973724,1973
City_53,City_52,2891275,2891
City_53,City_26,1422420,1422
City_53,City_21,2890335,2890
City_53,City_28,1755333,1755
City_53,City_36,1428229,1428
City_53,City_44,1847054,1847
City_53,City_43,1849656,1849
City_53,City_10,1288979,1288
City_53,City_32,2162912,2162
City_53,City_33,2143093,2143
City_53,City_3,1486296,1486
City_53,City_9,558119,5581
City_53,City_34,1034913,1034
City_53,City_59,1912059,1912
City_53,City_16,2938339,2938
City_53,City_29,1778306,1778
City_53,City_8,1746351,1746
City_53,City_40,1952392,1952
City_53,City_11,1235434,1235
City_53,City_23,1728717,1728
City_53,City_4,853377,8533
City_53,City_25,1776484,1776
City_53,City_15,2932586,2932
City_53,City_27,1764254,1764
City_53,City_55,248487,2484
City_53,City_39,1943801,1943
City_53,City_49,2443412,2443
City_53,City_17,2930606,2930
City_53,City_38,2012817,2012
City_53,City_0,1868114,1868
City_53,City_1,1848816,1848
City_53,City_22,1688929,1688
City_53,City_2,1844463,1844
City_53,City_18,2938047,2938
City_53,City_50,2399196,2399
City_53,City_60,2461306,2461
City_53,City_7,2704623,2704
City_53,City_61,2449955,2449
City_19,City_24,1601621,1601
City_19,City_47,742273,7422
City_19,City_31,1515190,1515
City_19,City_54,3032754,3032
City_19,City_53,3046651,3046
City_19,City_12,1869706,1869
City_19,City_46,929535,9295
City_19,City_45,927728,9277
City_19,City_51,657743,6577
City_19,City_6,1582121,1582
City_19,City_20,28401,2840
City_19,City_56,1416075,1416
City_19,City_35,2115205,2115
City_19,City_48,695755,6957
City_19,City_57,1411229,1411
City_19,City_58,1432111,1432
City_19,City_42,1105214,1105
City_19,City_13,1980916,1980
City_19,City_14,1980295,1980
City_19,City_37,1462380,1462
City_19,City_30,1594697,1594
City_19,City_5,3172920,3172
City_19,City_41,1469326,1469
City_19,City_52,1042914,1042
City_19,City_26,1653687,1653
City_19,City_21,577230,5772
City_19,City_28,1562279,1562
City_19,City_36,1626550,1626
City_19,City_44,1293576,1293
City_19,City_43,1293991,1293
City_19,City_10,1768277,1768
City_19,City_32,902764,9027
City_19,City_33,904296,9042
City_19,City_3,2551731,2551
City_19,City_9,2268085,2268
City_19,City_34,2049351,2049
City_19,City_59,1812336,1812
City_19,City_16,165240,1652
City_19,City_29,1556847,1556
City_19,City_8,1399781,1399
City_19,City_40,1447994,1447
City_19,City_11,1963622,1963
City_19,City_23,1459206,1459
City_19,City_4,2229870,2229
City_19,City_25,1483749,1483
City_19,City_15,131325,1313
City_19,City_27,1493333,1493
City_19,City_55,2872342,2872
City_19,City_39,1360420,1360
City_19,City_49,1024142,1024
City_19,City_17,126963,1269
City_19,City_38,1455220,1455
City_19,City_0,1524708,1524
City_19,City_1,1545653,1545
City_19,City_22,1464021,1464
City_19,City_2,1525786,1525
City_19,City_18,104145,1041
City_19,City_50,1075549,1075
City_19,City_60,2635426,2635
City_19,City_7,1690029,1690
City_19,City_61,1021761,1021
City_12,City_24,773345,7733
City_12,City_47,1134874,1134
City_12,City_31,806412,8064
City_12,City_54,1190151,1190
City_12,City_53,1204048,1204
City_12,City_19,1868667,1868
City_12,City_46,1041944,1041
City_12,City_45,1042858,1042
City_12,City_51,1607189,1607
City_12,City_6,1408826,1408
City_12,City_20,1870968,1870
City_12,City_56,1461229,1461
City_12,City_35,348828,3488
City_12,City_48,1273490,1273
City_12,City_57,1507800,1507
City_12,City_58,1442741,1442
City_12,City_42,770984,7709
City_12,City_13,429103,4291
City_12,City_14,428482,4284
City_12,City_37,974142,9741
City_12,City_30,664370,6643
City_12,City_5,1330317,1330
City_12,City_41,803970,8039
City_12,City_52,1721521,1721
City_12,City_26,325035,3250
City_12,City_21,1720581,1720
City_12,City_28,756715,7567
City_12,City_36,258599,2585
City_12,City_44,677300,6773
City_12,City_43,679902,6799
City_12,City_10,261775,2617
City_12,City_32,993282,9932
City_12,City_33,973463,9734
City_12,City_3,983353,9833
City_12,City_9,622152,6221
City_12,City_34,324299,3242
City_12,City_59,817663,8176
City_12,City_16,1768709,1768
City_12,City_29,775986,7759
City_12,City_8,688852,6888
City_12,City_40,782638,7826
City_12,City_11,361088,3610
City_12,City_23,694108,6941
City_12,City_4,433618,4336
City_12,City_25,739921,7399
City_12,City_15,1762956,1762
City_12,City_27,776875,7768
City_12,City_55,1029739,1029
City_12,City_39,907238,9072
City_12,City_49,1413087,1413
City_12,City_17,1760976,1760
City_12,City_38,1030559,1030
City_12,City_0,920024,9200
City_12,City_1,900726,9007
City_12,City_22,652366,6523
City_12,City_2,896373,8963
City_12,City_18,1768417,1768
City_12,City_50,1368871,1368
City_12,City_60,1545859,1545
City_12,City_7,1614283,1614
City_12,City_61,1419630,1419
City_46,City_24,1138566,1138
City_46,City_47,237048,2370
City_46,City_31,1103684,1103
City_46,City_54,2203086,2203
City_46,City_53,2216983,2216
City_46,City_19,930746,9307
City_46,City_12,1042546,1042
City_46,City_45,4779,4779
City_46,City_51,980447,9804
City_46,City_6,814313,8143
City_46,City_20,932963,9329
City_46,City_56,737754,7377
City_46,City_35,1280356,1280
City_46,City_48,243793,2437
City_46,City_57,750777,7507
City_46,City_58,749000,7490
City_46,City_42,387083,3870
City_46,City_13,1092920,1092
City_46,City_14,1092299,1092
City_46,City_37,1139583,1139
City_46,City_30,1041339,1041
City_46,City_5,2343252,2343
City_46,City_41,552557,5525
City_46,City_52,680782,6807
City_46,City_26,1016864,1016
City_46,City_21,710345,7103
City_46,City_28,1059707,1059
City_46,City_36,860246,8602
City_46,City_44,376807,3768
City_46,City_43,377222,3772
City_46,City_10,1076195,1076
City_46,City_32,534446,5344
City_46,City_33,518717,5187
City_46,City_3,1658268,1658
City_46,City_9,1641918,1641
City_46,City_34,1214502,1214
City_46,City_59,895567,8955
City_46,City_16,798345,7983
City_46,City_29,1068184,1068
City_46,City_8,881812,8818
City_46,City_40,531225,5312
City_46,City_11,1339427,1339
City_46,City_23,941237,9412
City_46,City_4,1395021,1395
City_46,City_25,965780,9657
City_46,City_15,861539,8615
City_46,City_27,1002734,1002
City_46,City_55,2042674,2042
City_46,City_39,941076,9410
City_46,City_49,1044694,1044
City_46,City_17,823055,8230
City_46,City_38,1144959,1144
City_46,City_0,1163816,1163
City_46,City_1,1152093,1152
City_46,City_22,916513,9165
City_46,City_2,1137999,1137
City_46,City_18,846157,8461
City_46,City_50,1072382,1072
City_46,City_60,1718657,1718
City_46,City_7,1058725,1058
City_46,City_61,1052512,1052
City_45,City_24,1139157,1139
City_45,City_47,234821,2348
City_45,City_31,1104275,1104
City_45,City_54,2203663,2203
City_45,City_53,2217560,2217
City_45,City_19,928519,9285
City_45,City_12,1043123,1043
City_45,City_46,4435,4435
City_45,City_51,978220,9782
City_45,City_6,818316,8183
City_45,City_20,930736,9307
City_45,City_56,741757,7417
City_45,City_35,1280933,1280
City_45,City_48,241566,2415
City_45,City_57,754780,7547
City_45,City_58,753003,7530
City_45,City_42,387660,3876
City_45,City_13,1093497,1093
City_45,City_14,1092876,1092
City_45,City_37,1140174,1140
City_45,City_30,1041930,1041
City_45,City_5,2343829,2343
City_45,City_41,553134,5531
City_45,City_52,671049,6710
City_45,City_26,1017441,1017
City_45,City_21,708118,7081
City_45,City_28,1060298,1060
City_45,City_36,860823,8608
City_45,City_44,377384,3773
City_45,City_43,377799,3777
City_45,City_10,1076772,1076
City_45,City_32,532219,5322
City_45,City_33,516490,5164
City_45,City_3,1658845,1658
City_45,City_9,1642495,1642
City_45,City_34,1215079,1215
City_45,City_59,896144,8961
City_45,City_16,796118,7961
City_45,City_29,1068775,1068
City_45,City_8,882403,8824
City_45,City_40,531802,5318
City_45,City_11,1340004,1340
City_45,City_23,941828,9418
City_45,City_4,1395598,1395
City_45,City_25,966371,9663
City_45,City_15,859312,8593
City_45,City_27,1003325,1003
City_45,City_55,2043251,2043
City_45,City_39,941667,9416
City_45,City_49,1042467,1042
City_45,City_17,820828,8208
City_45,City_38,1145550,1145
City_45,City_0,1164407,1164
City_45,City_1,1152684,1152
City_45,City_22,917104,9171
City_45,City_2,1138590,1138
City_45,City_18,843930,8439
City_45,City_50,1070155,1070
City_45,City_60,1719234,1719
City_45,City_7,1062728,1062
City_45,City_61,1050285,1050
City_51,City_24,1109513,1109
City_51,City_47,759675,7596
City_51,City_31,1024318,1024
City_51,City_54,2762513,2762
City_51,City_53,2776410,2776
City_51,City_19,652066,6520
City_51,City_12,1599465,1599
City_51,City_46,973045,9730
City_51,City_45,971238,9712
City_51,City_6,1774087,1774
City_51,City_20,673431,6734
City_51,City_56,1638362,1638
City_51,City_35,1921190,1921
City_51,City_48,878001,8780
City_51,City_57,1641936,1641
City_51,City_58,1654398,1654
City_51,City_42,983581,9835
City_51,City_13,1889942,1889
City_51,City_14,1889321,1889
City_51,City_37,896499,8964
City_51,City_30,1167368,1167
City_51,City_5,2902679,2902
City_51,City_41,1439645,1439
City_51,City_52,1414815,1414
City_51,City_26,1351066,1351
City_51,City_21,1049256,1049
City_51,City_28,1076042,1076
City_51,City_36,1372076,1372
City_51,City_44,1282256,1282
City_51,City_43,1281029,1281
City_51,City_10,1465656,1465
City_51,City_32,630222,6302
City_51,City_33,640240,6402
City_51,City_3,2469421,2469
City_51,City_9,1891945,1891
City_51,City_34,1896661,1896
City_51,City_59,1782788,1782
City_51,City_16,644049,6440
City_51,City_29,1065975,1065
City_51,City_8,1023630,1023
City_51,City_40,1418313,1418
City_51,City_11,1587482,1587
City_51,City_23,1083055,1083
City_51,City_4,2005980,2005
City_51,City_25,1048746,1048
City_51,City_15,552933,5529
City_51,City_27,1038155,1038
City_51,City_55,2602101,2602
City_51,City_39,905242,9052
City_51,City_49,380428,3804
City_51,City_17,631309,6313
City_51,City_38,839690,8396
City_51,City_0,1006911,1006
City_51,City_1,1043730,1043
City_51,City_22,1087870,1087
City_51,City_2,1023863,1023
City_51,City_18,597789,5977
City_51,City_50,431835,4318
City_51,City_60,2605878,2605
City_51,City_7,1944173,1944
City_51,City_61,378047,3780
City_6,City_24,1693152,1693
City_6,City_47,1036663,1036
City_6,City_31,1663865,1663
City_6,City_54,2493580,2493
City_6,City_53,2507477,2507
City_6,City_19,1547465,1547
City_6,City_12,1393144,1393
City_6,City_46,815170,8151
City_6,City_45,818289,8182
City_6,City_51,1763259,1763
City_6,City_20,1549682,1549
City_6,City_56,174244,1742
City_6,City_35,1536190,1536
City_6,City_48,886953,8869
City_6,City_57,201908,2019
City_6,City_58,162997,1629
City_6,City_42,933872,9338
City_6,City_13,1207531,1207
City_6,City_14,1207227,1207
City_6,City_37,1788248,1788
City_6,City_30,1578800,1578
City_6,City_5,2633746,2633
City_6,City_41,642222,6422
City_6,City_52,571538,5715
City_6,City_26,1382384,1382
City_6,City_21,1048708,1048
City_6,City_28,1614168,1614
City_6,City_36,1225766,1225
City_6,City_44,790636,7906
City_6,City_43,793238,7932
City_6,City_10,1441715,1441
City_6,City_32,1271288,1271
City_6,City_33,1251469,1251
City_6,City_3,1442526,1442
City_6,City_9,2007438,2007
City_6,City_34,1470336,1470
City_6,City_59,612374,6123
City_6,City_16,1415064,1415
City_6,City_29,1632105,1632
City_6,City_8,1432557,1432
City_6,City_40,623614,6236
City_6,City_11,1704947,1704
City_6,City_23,1488548,1488
City_6,City_4,1666809,1666
City_6,City_25,1545348,1545
City_6,City_15,1475104,1475
City_6,City_27,1582302,1582
City_6,City_55,2333168,2333
City_6,City_39,1587078,1587
City_6,City_49,1817325,1817
City_6,City_17,1439774,1439
City_6,City_38,1790961,1790
City_6,City_0,1764657,1764
City_6,City_1,1752934,1752
City_6,City_22,1453974,1453
City_6,City_2,1738840,1738
City_6,City_18,1457067,1457
City_6,City_50,1845013,1845
City_6,City_60,1020853,1020
City_6,City_7,259309,2593
City_6,City_61,1825143,1825
City_20,City_24,1619531,1619
City_20,City_47,744950,7449
City_20,City_31,1533100,1533
City_20,City_54,3035431,3035
City_20,City_53,3049328,3049
City_20,City_19,29628,2962
City_20,City_12,1872383,1872
City_20,City_46,932962,9329
City_20,City_45,931155,9311
City_20,City_51,675653,6756
City_20,City_6,1565356,1565
City_20,City_56,1399310,1399
City_20,City_35,2117882,2117
City_20,City_48,699182,6991
City_20,City_57,1394464,1394
City_20,City_58,1415346,1415
City_20,City_42,1107891,1107
City_20,City_13,1983593,1983
City_20,City_14,1982972,1982
City_20,City_37,1480290,1480
City_20,City_30,1625718,1625
City_20,City_5,3175597,3175
City_20,City_41,1472753,1472
City_20,City_52,1026149,1026
City_20,City_26,1664671,1664
City_20,City_21,560465,5604
City_20,City_28,1580189,1580
City_20,City_36,1629227,1629
City_20,City_44,1297003,1297
City_20,City_43,1297418,1297
City_20,City_10,1779261,1779
City_20,City_32,913748,9137
City_20,City_33,915280,9152
City_20,City_3,2554408,2554
City_20,City_9,2279069,2279
City_20,City_34,2052028,2052
City_20,City_59,1815763,1815
City_20,City_16,150088,1500
City_20,City_29,1574757,1574
City_20,City_8,1427892,1427
City_20,City_40,1451421,1451
City_20,City_11,1974606,1974
City_20,City_23,1487317,1487
City_20,City_4,2232547,2232
City_20,City_25,1511860,1511
City_20,City_15,149235,1492
City_20,City_27,1511243,1511
City_20,City_55,2875019,2875
City_20,City_39,1378330,1378
City_20,City_49,1042052,1042
City_20,City_17,122249,1222
City_20,City_38,1473130,1473
City_20,City_0,1542618,1542
City_20,City_1,1563563,1563
City_20,City_22,1492132,1492
City_20,City_2,1543696,1543
City_20,City_18,117869,1178
City_20,City_50,1093459,1093
City_20,City_60,2581723,2581
City_20,City_7,1673264,1673
City_20,City_61,1039671,1039
City_56,City_24,1642071,1642
City_56,City_47,955556,9555
City_56,City_31,1612784,1612
City_56,City_54,2564872,2564
City_56,City_53,2578769,2578
City_56,City_19,1415285,1415
City_56,City_12,1464436,1464
City_56,City_46,740132,7401
City_56,City_45,743251,7432
City_56,City_51,1646450,1646
City_56,City_6,175210,1752
City_56,City_20,1397044,1397
City_56,City_35,1607482,1607
City_56,City_48,770144,7701
City_56,City_57,52018,5201
City_56,City_58,26386,2638
City_56,City_42,876330,8763
City_56,City_13,1278823,1278
City_56,City_14,1278519,1278
City_56,City_37,1740056,1740
City_56,City_30,1527719,1527
City_56,City_5,2705038,2705
City_56,City_41,697477,6974
City_56,City_52,399696,3996
City_56,City_26,1437639,1437
City_56,City_21,882673,8826
City_56,City_28,1563087,1563
City_56,City_36,1281021,1281
City_56,City_44,810441,8104
City_56,City_43,810856,8108
City_56,City_10,1496970,1496
City_56,City_32,1213746,1213
City_56,City_33,1193927,1193
City_56,City_3,1530812,1530
City_56,City_9,2062693,2062
City_56,City_34,1541628,1541
City_56,City_59,717329,7173
City_56,City_16,1254511,1254
City_56,City_29,1581024,1581
City_56,City_8,1381476,1381
City_56,City_40,678869,6788
City_56,City_11,1760202,1760
City_56,City_23,1437467,1437
City_56,City_4,1738101,1738
City_56,City_25,1494267,1494
City_56,City_15,1355068,1355
City_56,City_27,1531221,1531
City_56,City_55,2404460,2404
City_56,City_39,1529536,1529
City_56,City_49,1759783,1759
City_56,City_17,1293399,1293
City_56,City_38,1733419,1733
City_56,City_0,1716465,1716
City_56,City_1,1704742,1704
City_56,City_22,1402893,1402
City_56,City_2,1690648,1690
City_56,City_18,1327372,1327
City_56,City_50,1787471,1787
City_56,City_60,1191577,1191
City_56,City_7,324322,3243
City_56,City_61,1767601,1767
City_35,City_24,1053503,1053
City_35,City_47,1381910,1381
City_35,City_31,1086570,1086
City_35,City_54,965794,9657
City_35,City_53,979691,9796
City_35,City_19,2115703,2115
City_35,City_12,349900,3499
City_35,City_46,1288839,1288
City_35,City_45,1289753,1289
City_35,City_51,1929077,1929
City_35,City_6,1562883,1562
City_35,City_20,2118004,2118
City_35,City_56,1615286,1615
City_35,City_48,1520385,1520
City_35,City_57,1661857,1661
City_35,City_58,1596798,1596
City_35,City_42,1031984,1031
City_35,City_13,349519,3495
City_35,City_14,352129,3521
City_35,City_37,1254300,1254
City_35,City_30,944528,9445
City_35,City_5,1105960,1105
City_35,City_41,1024657,1024
City_35,City_52,1968416,1968
City_35,City_26,628528,6285
City_35,City_21,1967476,1967
City_35,City_28,1036873,1036
City_35,City_36,580487,5804
City_35,City_44,924195,9241
City_35,City_43,926797,9267
City_35,City_10,541842,5418
City_35,City_32,1315170,1315
City_35,City_33,1295351,1295
City_35,City_3,681711,6817
City_35,City_9,770966,7709
City_35,City_34,80311,8031
City_35,City_59,957457,9574
City_35,City_16,2015745,2015
City_35,City_29,1056144,1056
City_35,City_8,989133,9891
City_35,City_40,1029533,1029
City_35,City_11,585616,5856
City_35,City_23,994389,9943
City_35,City_4,139023,1390
City_35,City_25,1040202,1040
City_35,City_15,2030835,2030
City_35,City_27,1077156,1077
City_35,City_55,805382,8053
City_35,City_39,1207519,1207
City_35,City_49,1713368,1713
City_35,City_17,2008012,2008
City_35,City_38,1310717,1310
City_35,City_0,1200182,1200
City_35,City_1,1180884,1180
City_35,City_22,952647,9526
City_35,City_2,1176531,1176
City_35,City_18,2015453,2015
City_35,City_50,1669152,1669
City_35,City_60,1538638,1538
City_35,City_7,1750021,1750
City_35,City_61,1719911,1719
City_48,City_24,1291287,1291
City_48,City_47,209554,2095
City_48,City_31,1215596,1215
City_48,City_54,2438866,2438
City_48,City_53,2452763,2452
City_48,City_19,696083,6960
City_48,City_12,1278326,1278
City_48,City_46,248546,2485
City_48,City_45,246739,2467
City_48,City_51,884634,8846
City_48,City_6,934993,9349
City_48,City_20,698300,6983
City_48,City_56,768031,7680
City_48,City_35,1516136,1516
City_48,City_57,771605,7716
City_48,City_58,784067,7840
City_48,City_42,539636,5396
City_48,City_13,1328700,1328
City_48,City_14,1328079,1328
City_48,City_37,1162786,1162
City_48,City_30,1194060,1194
City_48,City_5,2579032,2579
City_48,City_41,788337,7883
City_48,City_52,602250,6022
City_48,City_26,1202325,1202
City_48,City_21,475780,4757
City_48,City_28,1212428,1212
City_48,City_36,1060972,1060
City_48,City_44,612587,6125
City_48,City_43,613002,6130
City_48,City_10,1306350,1306
City_48,City_32,539764,5397
City_48,City_33,541296,5412
City_48,City_3,1894048,1894
City_48,City_9,1840812,1840
City_48,City_34,1450282,1450
City_48,City_59,1131347,1131
City_48,City_16,563682,5636
City_48,City_29,1220905,1220
City_48,City_8,1034533,1034
City_48,City_40,767005,7670
City_48,City_11,1536349,1536
City_48,City_23,1093958,1093
City_48,City_4,1630801,1630
City_48,City_25,1118501,1118
City_48,City_15,623722,6237
City_48,City_27,1155455,1155
City_48,City_55,2278454,2278
City_48,City_39,1060826,1060
City_48,City_49,1016932,1016
City_48,City_17,588392,5883
City_48,City_38,1155626,1155
City_48,City_0,1225114,1225
City_48,City_1,1246059,1246
City_48,City_22,1069234,1069
City_48,City_2,1226192,1226
City_48,City_18,605685,6056
City_48,City_50,1044620,1044
City_48,City_60,1954437,1954
City_48,City_7,1073842,1073
City_48,City_61,1024750,1024
City_57,City_24,1684376,1684
City_57,City_47,968010,9680
City_57,City_31,1655089,1655
City_57,City_54,2610667,2610
City_57,City_53,2624564,2624
City_57,City_19,1411413,1411
City_57,City_12,1510231,1510
City_57,City_46,752586,7525
City_57,City_45,755705,7557
City_57,City_51,1649386,1649
City_57,City_6,205498,2054
City_57,City_20,1393172,1393
City_57,City_56,53030,5303
City_57,City_35,1653277,1653
City_57,City_48,773080,7730
City_57,City_58,72693,7269
City_57,City_42,918635,9186
City_57,City_13,1324618,1324
City_57,City_14,1324314,1324
City_57,City_37,1782361,1782
City_57,City_30,1570024,1570
City_57,City_5,2750833,2750
City_57,City_41,743272,7432
City_57,City_52,394995,3949
City_57,City_26,1483434,1483
City_57,City_21,878801,8788
City_57,City_28,1605392,1605
City_57,City_36,1326816,1326
City_57,City_44,852746,8527
City_57,City_43,853161,8531
City_57,City_10,1542765,1542
City_57,City_32,1265408,1265
City_57,City_33,1236232,1236
City_57,City_3,1576607,1576
City_57,City_9,2108488,2108
City_57,City_34,1587423,1587
City_57,City_59,763124,7631
